	Gov_Constr	miss	Fusion_Transfer	level	constr	gender	language	case_orig	case_corr
0	Gov	miss	-	C1	Verb	ж	FL	D	D
1	Gov	miss	Transfer	B1	Verb	ж	FL	N	D
2	Constr	miss	-	B2	place	ж	FL	N	L
3	Gov	miss	-	A2	Verb	ж	FL	N	I
4	Gov	not miss	-	A1	Noun	ж	FL	L	L
5	Constr	not miss	-	A2	time	ж	FL	L	A
6	Constr	not miss	-	A2	time	ж	FL	L	A
7	Gov	miss	-	A2	Noun	ж	FL	A	L
8	Constr	miss	-	A2	time	ж	FL	L	L
9	Constr	not miss	-	A2	time	ж	FL	L	A
10	Constr	not miss	-	A2	time	м	FL	L	A
11	Gov	miss	Transfer	B1	Noun	ж	FL	G	G
12	Gov	miss	-	A2	Noun	ж	FL	L	L
13	Gov	miss	-	A2	Noun	ж	FL	L	L
14	Gov	not miss	-	A2	Verb	м	FL	I	A anim
15	Gov	miss	Transfer	A2	Verb	м	FL	N	L
16	Gov	miss	Transfer	A2	Verb	м	FL	N	L
17	Gov	miss	Transfer	A2	Verb	м	FL	N	L
18	Gov	not miss	-	A2	Noun	ж	FL	D	I
19	Gov	not miss	Transfer	B2	Adj	ж	FL	G	I
20	Gov	not miss	Transfer	B2	Noun	ж	FL	I	A
21	Gov	not miss	Fusion	B1	Verb	м	FL	A	L
22	Gov	not miss	-	A2	Verb	ж	FL	I	I
23	Gov	not miss	-	A2	Verb	ж	FL	G	I
24	Gov	not miss	-	A1	Verb	ж	FL	I	A
25	Constr	miss	Transfer	B1	time	ж	FL	A	A
26	Constr	not miss	-	B1	place	ж	FL	L	L
27	Constr	not miss	Transfer	A2	purpose	ж	FL	V	Conj V
28	Gov	not miss	-	A1	Verb	м	FL	Adv	Adv
29	Gov	miss	-	A1	Verb	м	FL	A	A
30	Gov	miss	Fusion	A2	Verb	м	FL	A anim	I
31	Gov	miss	-	A1	Noun	ж	FL	L	L
32	Gov	miss	-	A2	Verb	ж	FL	L	L
33	Gov	not miss	Fusion	B1	Noun	ж	FL	L	G
34	Constr	miss	-	B1	time	ж	FL	L	L
35	Constr	not miss	Transfer	A2	purpose	м	FL	V	Conj V
36	Gov	not miss	Fusion	A2	Verb	ж	FL	D	D
37	Gov	not miss	-	A2	Verb	ж	FL	G	A
38	Gov	miss	-	B1	Verb	ж	FL	A	L
39	Gov	miss	-	A2	Verb	ж	FL	L	L
40	Constr	miss	Transfer	A1	time	ж	FL	N	A
41	Constr	not miss	Transfer	A1	time	м	FL	Adv	Adv
42	Gov	miss	-	B2	Verb	м	FL	G	G
43	Gov	not miss	-	B2	Noun	ж	FL	L	G
44	Gov	miss	-	B2	Verb	ж	FL	L	L
45	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
46	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
47	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
48	Gov	not miss	-	A2	Verb	ж	FL	Adv	Adv
49	Gov	not miss	-	A2	Verb	ж	FL	G	I
50	Gov	miss	-	A2	Noun	ж	FL	D	D
51	Gov	miss	-	A2	Noun	ж	FL	D	D
52	Gov	miss	-	A2	Noun	ж	FL	A	D
53	Gov	miss	-	A2	Verb	ж	FL	D	L
54	Constr	not miss	-	A2	purpose	ж	FL	V	Conj V
55	Gov	not miss	-	A2	time	ж	FL	Adv	Adv
56	Gov	miss	-	A2	time	ж	FL	A	L
57	Constr	miss	-	A2	time	ж	FL	L	L
58	Constr	miss	-	A1	time	ж	FL	N	A
59	Constr	miss	-	A1	time	ж	FL	N	A
60	Constr	miss	-	A1	time	ж	FL	N	A
61	Constr	miss	-	A1	time	ж	FL	N	A
62	Constr	miss	-	A1	time	ж	FL	N	A
63	Constr	miss	-	A1	time	ж	FL	N	A
64	Constr	miss	-	A1	time	ж	FL	N	A
65	Constr	miss	-	A1	time	ж	FL	N	A
66	Constr	miss	-	A1	time	м	FL	N	A
67	Constr	miss	-	A1	time	м	FL	N	A
68	Constr	miss	-	A1	time	м	FL	A	A
69	Gov	not miss	-	A1	time	м	FL	ADV	Adv
70	Constr	miss	-	A1	time	ж	FL	N	A
71	Constr	miss	-	A1	time	ж	FL	A	A
72	Constr	miss	-	A1	time	ж	FL	N	A
73	Constr	miss	-	A1	time	ж	FL	N	A
74	Constr	miss	-	A1	time	ж	FL	N	A
75	Constr	miss	-	A1	time	ж	FL	N	A
76	Constr	miss	-	A1	time	ж	FL	N	A
77	Constr	miss	-	A1	time	ж	FL	N	A
78	Constr	miss	-	A1	time	ж	FL	N	A
79	Constr	not miss	-	A1	place	ж	FL	L	Adv
80	Constr	not miss	-	A1	place	м	FL	L	Adv
81	Constr	not miss	Transfer	A1	time	м	FL	Adv	Adv
82	Constr	not miss	-	A1	time	м	FL	Adv	Adv
83	Constr	miss	-	A1	time	ж	FL	N	A
84	Constr	miss	-	A1	time	ж	FL	N	A
85	Constr	miss	-	A1	time	ж	FL	N	A
86	Constr	miss	-	A1	time	ж	FL	N	A
87	Constr	miss	-	A1	time	ж	FL	A	A
88	Constr	not miss	-	A1	time	ж	FL	Adv	Adv
89	Constr	not miss	-	A1	time	ж	FL	Adv	Adv
90	Constr	miss	-	A1	time	м	FL	N	A
91	Constr	miss	-	A1	time	м	FL	N	A
92	Constr	miss	-	A1	time	м	FL	N	A
93	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
94	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
95	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
96	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
97	Constr	not miss	-	A2	time	ж	FL	Adv	Adv
98	Constr	not miss	-	A2	place	ж	FL	L	L
99	Constr	miss	-	A2	time	ж	FL	A	A
100	Gov	not miss	-	A2	Verb	м	FL	L	D
101	Gov	miss	-	B1	Verb	ж	FL	A	A
102	Gov	not miss	-	A1	Verb	м	FL	L	L
103	Gov	not miss	Transfer	A2	Noun	м	FL	G	G
104	Constr	not miss	-	A2	time	ж	FL	L	L
105	Constr	not miss	Fusion	A2	place	ж	FL	A	A
106	Gov	miss	-	A2	time	ж	FL	A	A
107	Constr	miss	Transfer	A2	time	ж	FL	A	A
108	Constr	not miss	-	A2	place	ж	FL	A	A
109	Gov	miss	Transfer	A2	Verb	ж	FL	A	L
110	Gov	miss	-	B1	Verb	ж	FL	A	A
111	Constr	not miss	Fusion	A2	time	ж	FL	L	L
112	Constr	not miss	Transfer	A2	time	ж	FL	Adv	Adv
113	Constr	not miss	Transfer	A2	time	ж	FL	Adv	Adv
114	Constr	not miss	Transfer	A2	time	ж	FL	Adv	Adv
115	Gov	not miss	Transfer	A2	Verb	ж	FL	L	G
116	Gov	not miss	-	A2	Verb	ж	FL	L	G
117	Constr	miss	-	A2	Noun	ж	FL	G	G
118	Constr	not miss	Fusion	A2	place	ж	FL	L	L
119	Gov	not miss	Fusion	A2	Verb	ж	FL	A	A
120	Gov	not miss	-	A1	Verb	ж	FL	D	D
121	Gov	miss	-	A1	Verb	ж	FL	A	A
122	Gov	miss	Transfer	A1	Verb	ж	FL	N	A anim
123	Gov	not miss	-	A1	Verb	ж	FL	N	D
124	Gov	not miss	-	A1	Verb	ж	FL	A	A
125	Gov	not miss	-	A1	Verb	ж	FL	G	G
126	Gov	not miss	Transfer	A1	Verb	ж	FL	I	I
127	Gov	not miss	-	A1	Verb	ж	FL	A	A
128	Gov	not miss	Transfer	A1	Verb	ж	FL	I	I
129	Gov	not miss	-	A1	Verb	ж	FL	G	G
130	Gov	not miss	Transfer	A1	Verb	ж	FL	G	I
131	Gov	miss	Fusion	B1	Verb	ж	FL	A anim	I
132	Gov	not miss	-	A1	Verb	ж	FL	N	L
133	Gov	not miss	-	A1	Verb	ж	FL	L	L
134	Gov	miss	Transfer	A2	Verb	м	FL	Adv	Adv
135	Gov	not miss	Fusion	A1	Verb	ж	FL	D	A
136	Gov	miss	-	A1	Noun	м	FL	N	L
137	Gov	not miss	-	A1	Verb	м	FL	A	A
138	Gov	miss	-	A1	Noun	ж	FL	N	L
139	Gov	not miss	-	A1	Verb	ж	FL	L	L
140	Gov	miss	-	A1	Noun	ж	FL	L	L
141	Gov	miss	-	A1	Noun	ж	FL	G	A anim
142	Gov	miss	-	A1	Verb	ж	FL	A anim	I
143	Gov	miss	-	A1	Verb	ж	FL	N	I
144	Gov	miss	-	A1	Verb	ж	FL	N	I
145	Gov	miss	-	A1	Verb	ж	FL	A anim	I
146	Constr	not miss	-	A1	time	м	FL	L	A
147	Gov	miss	-	A1	Verb	ж	FL	A	D
148	Gov	miss	-	A1	Verb	ж	FL	N	G
149	Gov	miss	-	A1	Verb	ж	FL	N	G
150	Gov	not miss	-	A1	Verb	м	FL	L	A
151	Constr	not miss	-	A1	place	м	FL	L	L
152	Gov	not miss	Transfer	A1	Verb	ж	FL	I	I
153	Constr	not miss	Transfer	A1	time	ж	FL	G	A
154	Gov	not miss	-	A1	Verb	м	FL	L	A
155	Gov	not miss	-	A1	Verb	ж	FL	G	I
156	Gov	not miss	-	A1	Verb	м	FL	A	Adv
157	Gov	not miss	-	A1	Verb	ж	FL	A	G
158	Gov	miss	Transfer	A2	Noun	ж	FL	G	L
159	Constr	miss	-	A2	time	ж	FL	N	L
160	Gov	not miss	-	A2	Noun	ж	FL	L	D
161	Gov	miss	-	A2	Verb	ж	FL	N	L
162	Gov	not miss	-	A2	Noun	ж	FL	N	D
163	Gov	miss	-	A2	Noun	ж	FL	N	L
164	Constr	not miss	-	A2	purpose	ж	FL	V	Conj V
165	Constr	not miss	-	A2	purpose	ж	FL	V	Conj V
166	Gov	not miss	-	A2	Noun	ж	FL	D	D
167	Gov	not miss	-	A2	Noun	ж	FL	N	D
168	Gov	miss	-	A2	Noun	ж	FL	N	L
169	Constr	not miss	-	A2	time	ж	FL	L	L
170	Constr	not miss	-	A2	time	ж	FL	L	L
171	Constr	not miss	-	A2	time	ж	FL	L	L
172	Constr	not miss	-	A2	time	ж	FL	L	L
173	Constr	miss	-	A2	time	ж	FL	L	L
174	Constr	not miss	-	A2	time	м	FL	L	L
175	Constr	not miss	-	A2	place	ж	FL	L	L
176	Constr	not miss	-	A2	place	ж	FL	L	L
