Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2
Цветки	цветок	S	m,nom,pl
дикорастущих	дикорастущий	A	gen,pl
форм	форма	S	f,gen,pl
обыкновенной	обыкновенный	A	f,gen,sg
сирени	сирень	S	f,gen,sg
мелкие	мелкий	A	nom,pl
,			
собраны	собрать	V	brev,nom,partcp,pass,past,pl
парными	парный	A	ins,pl
пучками	пучок	S	ins,m,pl
(			
по	по	PR	
3			
-			
5			
цветков	цветок	S	gen,m,pl
в	в	PR	
пучке	пучок	S	loc,m,sg
,			
отдельные	отдельный	A	nom,pl
сорта	сорт	S	m,nom,pl
по	по	PR	
7			
-			
9			
цветков	цветок	S	gen,m,pl
)			
.			
В	в	PR	
конце	конец	S	loc,m,sg
осени	осень	S	f,gen,sg
кора	кора	S	f,nom,sg
побегов	побег	S	gen,m,pl
становится	становиться	V	3p,pres,sg
серой	серый	A	f,ins,sg
.			
В	в	PR	
центре	центр	S	loc,m,sg
цветка	цветок	S	gen,m,sg
бело-кремовое	белый-кремовый	A	n,nom,sg
пятнышко	пятнышко	S	n,nom,sg
в	в	PR	
виде	вид	S	loc,m,sg
звездочки	звездочка	S	f,gen,sg
.			
При	при	PR	
уплотнении	уплотнение	S	loc,n,sg
почвы	почва	S	f,gen,sg
и	и	CONJ	
асфальтировании	асфальтирование	S	loc,n,sg
суховершинит	суховершинить	V	3p,pres,sg
.			
Морозостоек	морозостойкий	A	brev,m,nom,sg
.			
Родина	родина	S	f,nom,sg
-			
горные	горный	A	nom,pl
леса	лес	S	m,nom,pl
Тянь-Шаня	тянь-шань	S	gen,m,sg
.			
Дико	дико	ADV	
растет	расти	V	3p,pres,sg
на	на	PR	
сухих	сухой	A	loc,pl
склонах	склон	S	loc,m,pl
в	в	PR	
умеренно	умеренно	ADV	
теплых	теплый	A	loc,pl
районах	район	S	loc,m,pl
на	на	PR	
обширной	обширный	A	f,loc,sg
территории	территория	S	f,loc,sg
от	от	PR	
Западной	западный	A	f,gen,sg
Европы	европа	S	f,gen,sg
до	до	PR	
восточной	восточный	A	f,gen,sg
Азии	азия	S	f,gen,sg
.			
Полученное	получить	V	acc,n,partcp,pass,past,sg
количество	количество	S	acc,n,sg
саженцев	саженец	S	gen,m,pl
затем	затем	ADV	
распределяют	распределять	V	3p,pl,pres
пропорционально	пропорционально	ADV	
объему	объем	S	dat,m,sg
работ	работа	S	f,gen,pl
по	по	PR	
годам	год	S	dat,m,pl
перспективного	перспективный	A	gen,n,sg
периода	период	S	gen,m,sg
и	и	CONJ	
вычисляют	вычислять	V	3p,pl,pres
среднегодовую	среднегодовой	A	acc,f,sg
потребность	потребность	S	acc,f,sg
.			
Дистальнее	дистально	ADV	comp
места	место	S	gen,n,sg
сужения	сужение	S	gen,n,sg
проток	проток	S	m,nom,sg
не	не	ADV	
визуализируется	визуализировать	V	3p,pres,sg
.			
ЗАКЛЮЧЕНИЕ	заключение	S	n,nom,sg
:			
Инфильтративные	инфильтративный	A	nom,pl
изменения	изменение	S	n,nom,pl
в	в	PR	
зоне	зона	S	f,loc,sg
гепатикоэнтероанастомоза	гепатикоэнтероанастомоз	S	gen,m,sg
,			
в	в	PR	
воротах	ворота	S	loc,pl
печени	печень	S	f,gen,sg
,			
во	во	PR	
внутрибрюшной	внутрибрюшной	A	f,loc,sg
жировой	жировой	A	f,loc,sg
клетчатке	клетчатка	S	f,loc,sg
.			
Золотовалютные	золотовалютный	A	nom,pl
резервы	резерв	S	m,nom,pl
увеличились	увеличиться	V	past,pl
на	на	PR	
170			
миллиардов	миллиард	S	gen,m,pl
долларов	доллар	S	gen,m,pl
и	и	CONJ	
приближаются	приближаться	V	3p,pl,pres
к	к	PR	
отметке	отметка	S	dat,f,sg
в	в	PR	
полтриллиона	полтриллиона	S	acc,m,sg
долларов	доллар	S	gen,m,pl
США	сша	S	gen,pl
-			
точнее	точно	ADV	comp
,			
478			
,			
6			
,			
по	по	PR	
последним	последний	A	dat,pl
данным	данные	A	dat,pl
(			
чуть-чуть	чуть-чуть	ADV	
понижение	понижение	S	n,nom,sg
произошло	произойти	V	n,past,sg
в	в	PR	
связи	связь	S	f,loc,sg
с	с	PR	
изменением	изменение	S	ins,n,sg
курса	курс	S	gen,m,sg
доллара	доллар	S	gen,m,sg
)			
.			
Это	это	ADV	
вершина	вершина	S	f,nom,sg
тесного	тесный	A	gen,m,sg
и	и	CONJ	
плодотворного	плодотворный	A	gen,m,sg
сотрудничества	сотрудничество	S	gen,n,sg
между	между	PR	
нашими	наш	APRO	ins,pl
странами	страна	S	f,ins,pl
.			
Мы	мы	SPRO	1p,nom,pl
еще	еще	ADV	
некоторое	некоторый	APRO	acc,n,sg
время	время	S	acc,n,sg
разговариваем	разговаривать	V	1p,pl,pres
с	с	PR	
Епископом	епископ	S	ins,m,sg
Лукианом	лукиан	S	ins,m,sg
,			
потом	потом	ADV	
он	он	SPRO	3p,m,nom,sg
провожает	провожать	V	3p,pres,sg
меня	я	SPRO	1p,acc,sg
до	до	PR	
ворот	ворота	S	gen,pl
Резиденции	резиденция	S	f,gen,sg
,			
откуда	откуда	ADV	
навстречу	навстречу	ADV	
нам	мы	SPRO	1p,dat,pl
идет	идти	V	3p,pres,sg
многочисленный	многочисленный	A	m,nom,sg
и	и	CONJ	
многоязычный	многоязычный	A	m,nom,sg
поток	поток	S	m,nom,sg
людей	человек	S	gen,m,pl
,			
желающих	желать	V	act,gen,partcp,pl,pres
осмотреть	осмотреть	V	inf
экспонаты	экспонат	S	acc,m,pl
Православного	православный	A	gen,m,sg
Музея	музей	S	gen,m,sg
и	и	CONJ	
посетить	посетить	V	inf
Кафедральный	кафедральный	A	acc,m,sg
Собор	собор	S	acc,m,sg
.			
Многотысячный	многотысячный	A	m,nom,sg
коллектив	коллектив	S	m,nom,sg
"			
Газпрома	газпром	S	gen,m,sg
"			
денно	денно	ADV	
и	и	CONJ	
нощно	нощно	ADV	
трудился	трудиться	V	m,past,sg
над	над	PR	
поставленной	поставить	V	f,ins,partcp,pass,past,sg
задачей	задача	S	f,ins,sg
.			
Там	там	ADV	
оставалось	оставаться	V	n,past,sg
еще	еще	ADV	
60			
сербских	сербский	A	gen,pl
сел	село	S	gen,n,pl
.			
Мы	мы	SPRO	1p,nom,pl
шли	идти	V	past,pl
в	в	PR	
бой	бой	S	acc,m,sg
вместе	вместе	ADV	
и	и	CONJ	
готовы	готовый	A	brev,nom,pl
были	быть	V	past,pl
пролить	пролить	V	inf
кровь	кровь	S	acc,f,sg
друг	друг	S	m,nom,sg
за	за	PR	
друга	друг	S	acc,m,sg
.			
-			
Какие	какой	APRO	nom,pl
впечатления	впечатление	S	n,nom,pl
у	у	PR	
вас	вы	SPRO	2p,gen,pl
остались	остаться	V	past,pl
от	от	PR	
Москвы	москва	S	f,gen,sg
в	в	PR	
1972			
году	год	S	loc,m,sg
?			
-			
По	по	PR	
удивительному	удивительный	A	dat,m,sg
стечению	стечение	S	dat,n,sg
обстоятельств	обстоятельство	S	gen,n,pl
ваш	ваш	APRO	m,nom,sg
олимпийский	олимпийский	A	m,nom,sg
триумф	триумф	S	m,nom,sg
идеально	идеально	ADV	
совпал	совпасть	V	m,past,sg
по	по	PR	
времени	время	S	dat,n,sg
с	с	PR	
внедрением	внедрение	S	ins,n,sg
современных	современный	A	gen,pl
поролоновых	поролоновый	A	gen,pl
матов	мат	S	gen,m,pl
.			
Все	весь	APRO	acc,n,sg
поселение	поселение	S	acc,n,sg
можно	можно	ADV	
обойти	обойти	V	inf
неторопливым	неторопливый	A	ins,m,sg
шагом	шаг	S	ins,m,sg
за	за	PR	
10			
минут	минута	S	f,gen,pl
.			
Стабильное	стабильный	A	n,nom,sg
взаимодействие	взаимодействие	S	n,nom,sg
в	в	PR	
нефтегазовом	нефтегазовый	A	loc,m,sg
секторе	сектор	S	loc,m,sg
является	являться	V	3p,pres,sg
общим	общий	A	ins,m,sg
вкладом	вклад	S	ins,m,sg
России	россия	S	f,gen,sg
и	и	CONJ	
Венгрии	венгрия	S	f,gen,sg
в	в	PR	
обеспечение	обеспечение	S	acc,n,sg
энергобезопасности	энергобезопасность	S	f,gen,sg
Европы	европа	S	f,gen,sg
.			
При	при	PR	
этом	это	SPRO	loc,n,sg
работа	работа	S	f,nom,sg
над	над	PR	
реализаций	реализация	S	f,gen,pl
проектов	проект	S	gen,m,pl
жёстко	жестко	ADV	
увязывалась	увязываться	V	f,past,sg
с	с	PR	
достижением	достижение	S	ins,n,sg
на	на	PR	
каждом	каждый	APRO	loc,m,sg
этапе	этап	S	loc,m,sg
целевых	целевой	A	gen,pl
показателей	показатель	S	gen,m,pl
.			
Наверняка	наверняка	ADV	
техника	техника	S	f,nom,sg
была	быть	V	f,past,sg
бы	бы	ADV	
уже	уже	ADV	
не	не	ADV	
та	тот	APRO	f,nom,sg
.			
Я	я	SPRO	1p,nom,sg
имею	иметь	V	1p,pres,sg
в	в	PR	
виду	вид	S	loc,m,sg
наше	наш	APRO	acc,n,sg
сотрудничество	сотрудничество	S	acc,n,sg
в	в	PR	
сфере	сфера	S	f,loc,sg
энергетики	энергетика	S	f,gen,sg
-			
первый	первый	ANUM	m,nom,sg
блок	блок	S	m,nom,sg
Сангтудинской	сангтудинский	A	f,gen,sg
ГЭС	гэс	S	f,gen,sg
станции	станция	S	f,gen,sg
запущен	запустить	V	m,nom,partcp,pass,past,sg
в	в	PR	
январе	январь	S	loc,m,sg
.			
В	в	PR	
рамках	рамка	S	f,loc,pl
национального	национальный	A	gen,m,sg
проекта	проект	S	gen,m,sg
13			
миллионов	миллион	S	gen,m,pl
человек	человек	S	gen,m,pl
смогли	смочь	V	past,pl
пройти	пройти	V	inf
диспансеризацию	диспансеризация	S	acc,f,sg
,			
а	а	CONJ	
60			
миллионам	миллион	S	dat,m,pl
были	быть	V	past,pl
сделаны	сделать	V	brev,nom,partcp,pass,past,pl
прививки	прививка	S	f,nom,pl
.			
Оба	оба	NUM	m,nom
работают	работать	V	3p,pl,pres
на	на	PR	
влиятельную	влиятельный	A	acc,f,sg
и	и	CONJ	
известную	известный	A	acc,f,sg
адвокатскую	адвокатский	A	acc,f,sg
контору	контора	S	acc,f,sg
«			
Bullie			
Brake			
&			
Desmay			
»			
и	и	CONJ	
успешно	успешно	ADV	
продвигаются	продвигаться	V	3p,pl,pres
по	по	PR	
служебной	служебный	A	dat,f,sg
лестнице	лестница	S	dat,f,sg
.			
Некоторые	некоторый	APRO	nom,pl
люди	человек	S	m,nom,pl
испытывают	испытывать	V	3p,pl,pres
панические	панический	A	acc,pl
атаки	атака	S	acc,f,pl
,			
которые	который	APRO	nom,pl
характеризуются	характеризовать	V	3p,pl,pres
чрезвычайно	чрезвычайно	ADV	
сильным	сильный	A	ins,n,sg
чувством	чувство	S	ins,n,sg
страха	страх	S	gen,m,sg
.			
Они	они	SPRO	3p,nom,pl
отнюдь	отнюдь	ADV	
не	не	ADV	
редки	редкий	A	brev,nom,pl
.			
К	к	PR	
третьей	третий	ANUM	dat,f,sg
неделе	неделя	S	dat,f,sg
пациенты	пациент	S	m,nom,pl
показывали	показывать	V	past,pl
заметное	заметный	A	acc,n,sg
улучшение	улучшение	S	acc,n,sg
настроения	настроение	S	gen,n,sg
в	в	PR	
отличие	отличие	S	acc,n,sg
от	от	PR	
принимавших	принимать	V	act,gen,partcp,past,pl
плацебо	плацебо	S	acc,n,sg
.			
Высокий	высокий	A	m,nom,sg
уровень	уровень	S	m,nom,sg
эстрогена	эстроген	S	gen,m,sg
и	и	CONJ	
низкий	низкий	A	m,nom,sg
прогестерона	прогестерон	S	gen,m,sg
могут	мочь	V	3p,pl,pres
привести	привести	V	inf
к	к	PR	
предменструальному	предменструальный	A	dat,m,sg
синдрому	синдром	S	dat,m,sg
(			
ПМС	ПМС	S	dat,m,sg
)			
с	с	PR	
цикличной	цикличный	A	f,ins,sg
депрессией	депрессия	S	f,ins,sg
и	и	CONJ	
беспокойством	беспокойство	S	ins,n,sg
.			
Иногда	иногда	ADV	
колебания	колебание	S	n,nom,pl
настроения	настроение	S	gen,n,sg
и	и	CONJ	
депрессия	депрессия	S	f,nom,sg
могут	мочь	V	3p,pl,pres
быть	быть	V	inf
результатом	результат	S	ins,m,sg
слишком	слишком	ADV	
большого	большой	A	gen,m,sg
стресса	стресс	S	gen,m,sg
и	и	CONJ	
истощения	истощение	S	gen,n,sg
надпочечников	надпочечник	S	gen,m,pl
.			
Первое	первый	ANUM	n,nom,sg
описание	описание	S	n,nom,sg
этого	этот	APRO	gen,m,sg
члена	член	S	gen,m,sg
семейства	семейство	S	gen,n,sg
